Site ,Position,Habitat,Camera,Latitude,Longitude,,,,,
U1,1,Upland,U1,34.688594,-86.648263,,,,,
U1,2,Upland,U2,34.689122,-86.648217,,,,,
U1,3,Upland,U3,34.689733,-86.648313,,,,,
U1,4,Upland,U4,34.690286,-86.648312,,,,,
U1,5,Upland,U5,34.690847,-86.648195,,,,,
U1,6,Upland,U6,34.691505,-86.648339,,,,,
U1,7,Upland,U7,34.688615,-86.641876,,,,,
U1,8,Upland,U8,34.689027,-86.64215,,,,,
U1,9,Upland,U9,34.689531,-86.642095,,,,,
U1,10,Upland,U10,34.69036,-86.642463,,,,,
U1,11,Upland,U11,34.69105,-86.642217,,,,,
U1,12,Upland,U12,34.691386,-86.642358,,,,,
U2,1,Upland,U13,34.680418,-86.654154,,,,,
U2,2,Upland,U14,34.68099091,-86.65418065,,,,,
U2,3,Upland,U15,34.68157879,-86.65418292,,,,,
U2,4,Upland,U16,34.682048,-86.654398,,,,,
U2,5,Upland,U17,34.682772,-86.6542,,,,,
U2,6,Upland,U18,34.683323,-86.654324,,,,,
U2,7,Upland,U19,34.680478,-86.648683,,,,,
U2,8,Upland,U20,34.680989,-86.648715,,,,,
U2,9,Upland,U21,34.681585,-86.648734,,,,,
U2,10,Upland,U22,34.682194,-86.648775,,,,,
U2,11,Upland,U23,34.682791,-86.648766,,,,,
U2,12,Upland,U24,34.683303,-86.648711,,,,,
U3,1,Upland,U25,34.674761,-86.65771,,,,,
U3,2,Upland,U26,34.675066,-86.657728,,,,,
U3,3,Upland,U27,34.675496,-86.657822,,,,,
U3,4,Upland,U28,34.67608,-86.657863,,,,,
U3,5,Upland,U29,34.676597,-86.657754,,,,,
U3,6,Upland,U30,34.677147,-86.657725,,,,,
U3,7,Upland,U31,34.674267,-86.652527,,,,,
U3,8,Upland,U32,34.67501,-86.652485,,,,,
U3,9,Upland,U33,34.675397,-86.652536,,,,,
U3,10,Upland,U34,34.676115,-86.652455,,,,,
U3,11,Upland,U35,34.676684,-86.652489,,,,,
U3,12,Upland,U36,34.677223,-86.652465,,,,,
U4,1,Upland,U37,34.668372,-86.654505,,,,,
U4,2,Upland,U38,34.668859,-86.654572,,,,,
U4,3,Upland,U39,34.669429,-86.654484,,,,,
U4,4,Upland,U40,34.670043,-86.654509,,,,,
U4,5,Upland,U41,34.670575,-86.654578,,,,,
U4,6,Upland,U42,34.670991,-86.654462,,,,,
U4,7,Upland,U43,34.668231,-86.649126,,,,,
U4,8,Upland,U44,34.668793,-86.649106,,,,,
U4,9,Upland,U45,34.669396,-86.649118,,,,,
U4,10,Upland,U46,34.670009,-86.649097,,,,,
U4,11,Upland,U47,34.670516,-86.649058,,,,,
U4,12,Upland,U48,34.671096,-86.649112,,,,,
U5,1,Upland,U49,34.664956,-86.645853,,,,,
U5,2,Upland,U50,34.665489,-86.645837,,,,,
U5,3,Upland,U51,34.666076,-86.645813,,,,,
U5,4,Upland,U52,34.66666,-86.64584,,,,,
U5,5,Upland,U53,34.667274,-86.645788,,,,,
U5,6,Upland,U54,34.667837,-86.645797,,,,,
U5,7,Upland,U55,34.664965,-86.640401,,,,,
U5,8,Upland,U56,34.665485,-86.640422,,,,,
U5,9,Upland,U57,34.66605,-86.640396,,,,,
U5,10,Upland,U58,34.66666,-86.64042,,,,,
U5,11,Upland,U59,34.667195,-86.640328,,,,,
U5,12,Upland,U60,34.667774,-86.64029,,,,,
U6,1,Upland,U61,34.68507,-86.655219,,,,,
U6,2,Upland,U62,34.685698,-86.655148,,,,,
U6,3,Upland,U63,34.686223,-86.655136,,,,,
U6,4,Upland,U64,34.686777,-86.655044,,,,,
U6,5,Upland,U65,34.687493,-86.655179,,,,,
U6,6,Upland,U66,34.688017,-86.655104,,,,,
U6,7,Upland,U67,34.685074,-86.649704,,,,,
U6,8,Upland,U68,34.685707,-86.649625,,,,,
U6,9,Upland,U69,34.686239,-86.649697,,,,,
U6,10,Upland,U70,34.686854,-86.64967,,,,,
U6,11,Upland,U71,34.687322,-86.649628,,,,,
U6,12,Upland,U72,34.687959,-86.649679,,,,,
L1,1,Lowland,L1,34.683516,-86.714178,,,,,
L1,2,Lowland,L2,34.684043,-86.714103,,,,,
L1,3,Lowland,L3,34.684624,-86.71415,,,,,
L1,4,Lowland,L4,34.685204,-86.714228,,,,,
L1,5,Lowland,L5,34.685804,-86.714239,,,,,
L1,6,Lowland,L6,34.686389,-86.714229,,,,,
L1,7,Lowland,L7,34.683555,-86.708773,,,,,
L1,8,Lowland,L8,34.684081,-86.708717,,,,,
L1,9,Lowland,L9,34.684652,-86.708761,,,,,
L1,10,Lowland,L10,34.685204,-86.708822,,,,,
L1,11,Lowland,L11,34.685822,-86.708744,,,,,
L1,12,Lowland,L12,34.686426,-86.708807,,,,,
L2,1,Lowland,L13,34.674591,-86.626588,,,,,
L2,2,Lowland,L14,34.675213,-86.62656,,,,,
L2,3,Lowland,L15,34.675735,-86.62654,,,,,
L2,4,Lowland,L16,34.676342,-86.626579,,,,,
L2,5,Lowland,L17,34.676815,-86.626585,,,,,
L2,6,Lowland,L18,34.677507,-86.626503,,,,,
L2,7,Lowland,L19,34.674603,-86.621116,,,,,
L2,8,Lowland,L20,34.675168,-86.621105,,,,,
L2,9,Lowland,L21,34.67574,-86.621126,,,,,
L2,10,Lowland,L22,34.676248,-86.621097,,,,,
L2,11,Lowland,L23,34.676837,-86.621104,,,,,
L2,12,Lowland,L24,34.677471,-86.621145,,,,,
L3,1,Lowland,L25,34.661611,-86.66806,,,,,
L3,2,Lowland,L26,34.663121,-86.668024,,,,,
L3,3,Lowland,L27,34.663461,-86.668033,,,,,
L3,4,Lowland,L28,34.66381,-86.668042,,,,,
L3,5,Lowland,L29,34.664091,-86.667919,,,,,
L3,6,Lowland,L30,34.664367,-86.667889,,,,,
L3,7,Lowland,L31,34.661803,-86.673667,,,,,
L3,8,Lowland,L32,34.662523,-86.673483,,,,,
L3,9,Lowland,L33,34.663067,-86.673661,,,,,
L3,10,Lowland,L34,34.663793,-86.673783,,,,,
L3,11,Lowland,L35,34.664218,-86.673607,,,,,
L3,12,Lowland,L36,34.6646,-86.673215,,,,,
L4,1,Lowland,L37,34.653412,-86.623181,,,,,
L4,2,Lowland,L38,34.654036,-86.62319,,,,,
L4,3,Lowland,L39,34.654556,-86.623184,,,,,
L4,4,Lowland,L40,34.65514,-86.62316,,,,,
L4,5,Lowland,L41,34.655633,-86.623193,,,,,
L4,6,Lowland,L42,34.65608,-86.623117,,,,,
L4,7,Lowland,L43,34.657228,-86.623024,,,,,
L4,8,Lowland,L44,34.657238,-86.622795,,,,,
L4,9,Lowland,L45,34.657519,-86.622165,,,,,
L4,10,Lowland,L46,34.656938,-86.621697,,,,,
L4,11,Lowland,L47,34.657272,-86.620691,,,,,
L4,12,Lowland,L48,34.657629,-86.62028,,,,,
L5,1,Lowland,L49,34.65203,-86.691114,,,,,
L5,2,Lowland,L50,34.652765,-86.692354,,,,,
L5,3,Lowland,L51,34.653335,-86.692525,,,,,
L5,4,Lowland,L52,34.653817,-86.692616,,,,,
L5,5,Lowland,L53,34.654534,-86.692472,,,,,
L5,6,Lowland,L54,34.655035,-86.692289,,,,,
L5,7,Lowland,L55,34.652103,-86.68709,,,,,
L5,8,Lowland,L56,34.652595,-86.687191,,,,,
L5,9,Lowland,L57,34.653253,-86.687147,,,,,
L5,10,Lowland,L58,34.653759,-86.68714,,,,,
L5,11,Lowland,L59,34.654148,-86.6877693,,,,,
L5,12,Lowland,L60,34.654417,-86.687409,,,,,
L6,1,Lowland,L61,34.64991,-86.612326,,,,,
L6,2,Lowland,L62,34.650447,-86.612341,,,,,
L6,3,Lowland,L63,34.651046,-86.612377,,,,,
L6,4,Lowland,L64,34.651644,-86.612152,,,,,
L6,5,Lowland,L65,34.652211,-86.612337,,,,,
L6,6,Lowland,L66,34.6527787,-86.61237,,,,,
L6,7,Lowland,L67,34.649845,-86.606916,,,,,
L6,8,Lowland,L68,34.650476,-86.606887,,,,,
L6,9,Lowland,L69,34.651061,-86.606912,,,,,
L6,10,Lowland,L70,34.651622,-86.606842,,,,,
L6,11,Lowland,L71,34.652215,-86.606862,,,,,
L6,12,Lowland,L72,34.652807,-86.606841,,,,,
