"","PatchArea.layer","PatchArea.level","PatchArea.class","PatchArea.id","PatchArea.metric","PatchArea.value","PatchCore.layer","PatchCore.level","PatchCore.class","PatchCore.id","PatchCore.metric","PatchCore.value","PatchEnn.layer","PatchEnn.level","PatchEnn.class","PatchEnn.id","PatchEnn.metric","PatchEnn.value","PatchPerim.layer","PatchPerim.level","PatchPerim.class","PatchPerim.id","PatchPerim.metric","PatchPerim.value","PatchPara.layer","PatchPara.level","PatchPara.class","PatchPara.id","PatchPara.metric","PatchPara.value","PatchCai.layer","PatchCai.level","PatchCai.class","PatchCai.id","PatchCai.metric","PatchCai.value","PatchCircle.layer","PatchCircle.level","PatchCircle.class","PatchCircle.id","PatchCircle.metric","PatchCircle.value","PatchContig.layer","PatchContig.level","PatchContig.class","PatchContig.id","PatchContig.metric","PatchContig.value","PatchFrac.layer","PatchFrac.level","PatchFrac.class","PatchFrac.id","PatchFrac.metric","PatchFrac.value","PatchGyrate.layer","PatchGyrate.level","PatchGyrate.class","PatchGyrate.id","PatchGyrate.metric","PatchGyrate.value","PatchNcore.layer","PatchNcore.level","PatchNcore.class","PatchNcore.id","PatchNcore.metric","PatchNcore.value","PatchShape.layer","PatchShape.level","PatchShape.class","PatchShape.id","PatchShape.metric","PatchShape.value"
"1",1,"patch",1,1,"area",24.3,1,"patch",1,1,"core",18.63,1,"patch",1,1,"enn",60,1,"patch",1,1,"perim",2340,1,"patch",1,1,"para",0.00962962962962963,1,"patch",1,1,"cai",76.6666666666667,1,"patch",1,1,"circle",0.471115881417702,1,"patch",1,1,"contig",0.911728395061728,1,"patch",1,1,"frac",1.02761164686231,1,"patch",1,1,"gyrate",196.103817786958,1,"patch",1,1,"ncore",1,1,"patch",1,1,"shape",1.18673220792786
"2",1,"patch",1,2,"area",15.84,1,"patch",1,2,"core",10.26,1,"patch",1,2,"enn",60,1,"patch",1,2,"perim",2460,1,"patch",1,2,"para",0.015530303030303,1,"patch",1,2,"cai",64.7727272727273,1,"patch",1,2,"circle",0.661271369109663,1,"patch",1,2,"contig",0.861742424242424,1,"patch",1,2,"frac",1.07269477916016,1,"patch",1,2,"gyrate",204.632766449633,1,"patch",1,2,"ncore",1,1,"patch",1,2,"shape",1.54524564096104
"3",1,"patch",1,3,"area",25.29,1,"patch",1,3,"core",14.94,1,"patch",1,3,"enn",60,1,"patch",1,3,"perim",5400,1,"patch",1,3,"para",0.0213523131672598,1,"patch",1,3,"cai",59.0747330960854,1,"patch",1,3,"circle",0.691552774424462,1,"patch",1,3,"contig",0.819691577698695,1,"patch",1,3,"frac",1.1587501075315,1,"patch",1,3,"gyrate",316.1112558444,1,"patch",1,3,"ncore",3,1,"patch",1,3,"shape",2.68447493822352
"4",1,"patch",1,4,"area",5.31,1,"patch",1,4,"core",1.08,1,"patch",1,4,"enn",60,1,"patch",1,4,"perim",1920,1,"patch",1,4,"para",0.0361581920903955,1,"patch",1,4,"cai",20.3389830508475,1,"patch",1,4,"circle",0.835621152867889,1,"patch",1,4,"contig",0.675141242937853,1,"patch",1,4,"frac",1.13489422292526,1,"patch",1,4,"gyrate",160.546820974879,1,"patch",1,4,"ncore",2,1,"patch",1,4,"shape",2.08302257569318
"5",1,"patch",1,5,"area",25.02,1,"patch",1,5,"core",14.76,1,"patch",1,5,"enn",60,1,"patch",1,5,"perim",4860,1,"patch",1,5,"para",0.0194244604316547,1,"patch",1,5,"cai",58.9928057553957,1,"patch",1,5,"circle",0.774547392715685,1,"patch",1,5,"contig",0.831534772182254,1,"patch",1,5,"frac",1.14279811482917,1,"patch",1,5,"gyrate",284.87195687716,1,"patch",1,5,"ncore",3,1,"patch",1,5,"shape",2.42902858281147
"6",1,"patch",1,6,"area",1.71,1,"patch",1,6,"core",0.45,1,"patch",1,6,"enn",60,1,"patch",1,6,"perim",600,1,"patch",1,6,"para",0.0350877192982456,1,"patch",1,6,"cai",26.3157894736842,1,"patch",1,6,"circle",0.53477785865446,1,"patch",1,6,"contig",0.684210526315789,1,"patch",1,6,"frac",1.02815651245854,1,"patch",1,6,"gyrate",51.4837038879871,1,"patch",1,6,"ncore",1,1,"patch",1,6,"shape",1.14707866935281
"7",1,"patch",1,7,"area",2.97,1,"patch",1,7,"core",0,1,"patch",1,7,"enn",60,1,"patch",1,7,"perim",1380,1,"patch",1,7,"para",0.0464646464646465,1,"patch",1,7,"cai",0,1,"patch",1,7,"circle",0.838396519322075,1,"patch",1,7,"contig",0.560606060606061,1,"patch",1,7,"frac",1.13478975384885,1,"patch",1,7,"gyrate",141.064595567696,1,"patch",1,7,"ncore",0,1,"patch",1,7,"shape",2.00189304349053
"8",1,"patch",1,8,"area",18.81,1,"patch",1,8,"core",13.86,1,"patch",1,8,"enn",60,1,"patch",1,8,"perim",1920,1,"patch",1,8,"para",0.010207336523126,1,"patch",1,8,"cai",73.6842105263158,1,"patch",1,8,"circle",0.467785870300702,1,"patch",1,8,"contig",0.903508771929825,1,"patch",1,8,"frac",1.01670215879328,1,"patch",1,8,"gyrate",173.878041838902,1,"patch",1,8,"ncore",1,1,"patch",1,8,"shape",1.10674314218572
"9",1,"patch",1,9,"area",28.17,1,"patch",1,9,"core",17.91,1,"patch",1,9,"enn",60,1,"patch",1,9,"perim",4320,1,"patch",1,9,"para",0.0153354632587859,1,"patch",1,9,"cai",63.5782747603834,1,"patch",1,9,"circle",0.81592425981427,1,"patch",1,9,"contig",0.861022364217252,1,"patch",1,9,"frac",1.11322656854541,1,"patch",1,9,"gyrate",333.13661126886,1,"patch",1,9,"ncore",2,1,"patch",1,9,"shape",2.0348403081992
"10",1,"patch",1,10,"area",0.36,1,"patch",1,10,"core",0,1,"patch",1,10,"enn",60,1,"patch",1,10,"perim",300,1,"patch",1,10,"para",0.0833333333333333,1,"patch",1,10,"cai",0,1,"patch",1,10,"circle",0.700414224768197,1,"patch",1,10,"contig",0.25,1,"patch",1,10,"frac",1.0545004329565,1,"patch",1,10,"gyrate",30,1,"patch",1,10,"ncore",0,1,"patch",1,10,"shape",1.25
"11",1,"patch",1,11,"area",0.45,1,"patch",1,11,"core",0,1,"patch",1,11,"enn",60,1,"patch",1,11,"perim",300,1,"patch",1,11,"para",0.0666666666666667,1,"patch",1,11,"cai",0,1,"patch",1,11,"circle",0.510292482794168,1,"patch",1,11,"contig",0.433333333333333,1,"patch",1,11,"frac",1.02652734070154,1,"patch",1,11,"gyrate",25.4340442956054,1,"patch",1,11,"ncore",0,1,"patch",1,11,"shape",1.11803398874989
"12",1,"patch",1,12,"area",2.79,1,"patch",1,12,"core",0.72,1,"patch",1,12,"enn",60,1,"patch",1,12,"perim",1080,1,"patch",1,12,"para",0.0387096774193548,1,"patch",1,12,"cai",25.8064516129032,1,"patch",1,12,"circle",0.556512068687752,1,"patch",1,12,"contig",0.672043010752688,1,"patch",1,12,"frac",1.09382826404951,1,"patch",1,12,"gyrate",73.4010221561225,1,"patch",1,12,"ncore",1,1,"patch",1,12,"shape",1.61644771824097
"13",1,"patch",1,13,"area",1.08,1,"patch",1,13,"core",0,1,"patch",1,13,"enn",60,1,"patch",1,13,"perim",660,1,"patch",1,13,"para",0.0611111111111111,1,"patch",1,13,"cai",0,1,"patch",1,13,"circle",0.628351700455682,1,"patch",1,13,"contig",0.486111111111111,1,"patch",1,13,"frac",1.09955416472039,1,"patch",1,13,"gyrate",48.6867333499083,1,"patch",1,13,"ncore",0,1,"patch",1,13,"shape",1.58771324027147
"14",1,"patch",1,14,"area",0.09,1,"patch",1,14,"core",0,1,"patch",1,14,"enn",60,1,"patch",1,14,"perim",120,1,"patch",1,14,"para",0.133333333333333,1,"patch",1,14,"cai",0,1,"patch",1,14,"circle",0.363380227632419,1,"patch",1,14,"contig",0,1,"patch",1,14,"frac",1,1,"patch",1,14,"gyrate",0,1,"patch",1,14,"ncore",0,1,"patch",1,14,"shape",1
"15",1,"patch",1,15,"area",20.43,1,"patch",1,15,"core",10.17,1,"patch",1,15,"enn",67.0820393249937,1,"patch",1,15,"perim",5040,1,"patch",1,15,"para",0.0246696035242291,1,"patch",1,15,"cai",49.7797356828194,1,"patch",1,15,"circle",0.598575865757108,1,"patch",1,15,"contig",0.790014684287812,1,"patch",1,15,"frac",1.16768883644338,1,"patch",1,15,"gyrate",226.248819361287,1,"patch",1,15,"ncore",3,1,"patch",1,15,"shape",2.78763790871988
"16",1,"patch",1,16,"area",12.87,1,"patch",1,16,"core",5.94,1,"patch",1,16,"enn",108.16653826392,1,"patch",1,16,"perim",3120,1,"patch",1,16,"para",0.0242424242424242,1,"patch",1,16,"cai",46.1538461538462,1,"patch",1,16,"circle",0.862170132553272,1,"patch",1,16,"contig",0.778554778554779,1,"patch",1,16,"frac",1.13202863059719,1,"patch",1,16,"gyrate",241.360534071427,1,"patch",1,16,"ncore",1,1,"patch",1,16,"shape",2.17422922601844
"17",1,"patch",1,17,"area",0.99,1,"patch",1,17,"core",0.18,1,"patch",1,17,"enn",67.0820393249937,1,"patch",1,17,"perim",480,1,"patch",1,17,"para",0.0484848484848485,1,"patch",1,17,"cai",18.1818181818182,1,"patch",1,17,"circle",0.588069559056271,1,"patch",1,17,"contig",0.590909090909091,1,"patch",1,17,"frac",1.04072626492972,1,"patch",1,17,"gyrate",39.8993202726478,1,"patch",1,17,"ncore",1,1,"patch",1,17,"shape",1.20604537831105
"18",1,"patch",1,18,"area",229.5,1,"patch",1,18,"core",187.38,1,"patch",1,18,"enn",60,1,"patch",1,18,"perim",18060,1,"patch",1,18,"para",0.00786928104575163,1,"patch",1,18,"cai",81.6470588235294,1,"patch",1,18,"circle",0.448510346714826,1,"patch",1,18,"contig",0.93078431372549,1,"patch",1,18,"frac",1.14912202879307,1,"patch",1,18,"gyrate",634.559366376299,1,"patch",1,18,"ncore",3,1,"patch",1,18,"shape",2.98034410435979
"19",1,"patch",1,19,"area",0.09,1,"patch",1,19,"core",0,1,"patch",1,19,"enn",84.8528137423857,1,"patch",1,19,"perim",120,1,"patch",1,19,"para",0.133333333333333,1,"patch",1,19,"cai",0,1,"patch",1,19,"circle",0.363380227632419,1,"patch",1,19,"contig",0,1,"patch",1,19,"frac",1,1,"patch",1,19,"gyrate",0,1,"patch",1,19,"ncore",0,1,"patch",1,19,"shape",1
"20",1,"patch",1,20,"area",62.01,1,"patch",1,20,"core",43.65,1,"patch",1,20,"enn",60,1,"patch",1,20,"perim",9120,1,"patch",1,20,"para",0.014707305273343,1,"patch",1,20,"cai",70.3918722786647,1,"patch",1,20,"circle",0.663579361270015,1,"patch",1,20,"contig",0.873971940009676,1,"patch",1,20,"frac",1.15941546193681,1,"patch",1,20,"gyrate",353.28078154967,1,"patch",1,20,"ncore",4,1,"patch",1,20,"shape",2.89536940748595
"21",1,"patch",1,21,"area",0.63,1,"patch",1,21,"core",0,1,"patch",1,21,"enn",67.0820393249937,1,"patch",1,21,"perim",480,1,"patch",1,21,"para",0.0761904761904762,1,"patch",1,21,"cai",0,1,"patch",1,21,"circle",0.692666316788064,1,"patch",1,21,"contig",0.357142857142857,1,"patch",1,21,"frac",1.09449585736485,1,"patch",1,21,"gyrate",41.9111610285919,1,"patch",1,21,"ncore",0,1,"patch",1,21,"shape",1.51185789203691
"22",1,"patch",1,22,"area",6.48,1,"patch",1,22,"core",3.87,1,"patch",1,22,"enn",60,1,"patch",1,22,"perim",1260,1,"patch",1,22,"para",0.0194444444444444,1,"patch",1,22,"cai",59.7222222222222,1,"patch",1,22,"circle",0.444108490942238,1,"patch",1,22,"contig",0.831018518518518,1,"patch",1,22,"frac",1.0384585299996,1,"patch",1,22,"gyrate",99.9756638280456,1,"patch",1,22,"ncore",1,1,"patch",1,22,"shape",1.23743686707646
"23",1,"patch",1,23,"area",19.71,1,"patch",1,23,"core",10.44,1,"patch",1,23,"enn",60,1,"patch",1,23,"perim",4740,1,"patch",1,23,"para",0.0240487062404871,1,"patch",1,23,"cai",52.9680365296804,1,"patch",1,23,"circle",0.807031515365398,1,"patch",1,23,"contig",0.800608828006088,1,"patch",1,23,"frac",1.1610577050023,1,"patch",1,23,"gyrate",288.42914700978,1,"patch",1,23,"ncore",2,1,"patch",1,23,"shape",2.66916264467797
"24",1,"patch",1,24,"area",0.72,1,"patch",1,24,"core",0.09,1,"patch",1,24,"enn",60,1,"patch",1,24,"perim",360,1,"patch",1,24,"para",0.05,1,"patch",1,24,"cai",12.5,1,"patch",1,24,"circle",0.434115757895483,1,"patch",1,24,"contig",0.5625,1,"patch",1,24,"frac",1.01326111308649,1,"patch",1,24,"gyrate",31.1109951098312,1,"patch",1,24,"ncore",1,1,"patch",1,24,"shape",1.06066017177982
"25",1,"patch",1,25,"area",0.09,1,"patch",1,25,"core",0,1,"patch",1,25,"enn",60,1,"patch",1,25,"perim",120,1,"patch",1,25,"para",0.133333333333333,1,"patch",1,25,"cai",0,1,"patch",1,25,"circle",0.363380227632419,1,"patch",1,25,"contig",0,1,"patch",1,25,"frac",1,1,"patch",1,25,"gyrate",0,1,"patch",1,25,"ncore",0,1,"patch",1,25,"shape",1
"26",1,"patch",1,26,"area",3.51,1,"patch",1,26,"core",0.63,1,"patch",1,26,"enn",60,1,"patch",1,26,"perim",1560,1,"patch",1,26,"para",0.0444444444444444,1,"patch",1,26,"cai",17.9487179487179,1,"patch",1,26,"circle",0.731587339217993,1,"patch",1,26,"contig",0.611111111111111,1,"patch",1,26,"frac",1.1401054057008,1,"patch",1,26,"gyrate",92.5309508839271,1,"patch",1,26,"ncore",1,1,"patch",1,26,"shape",2.08166599946613
"27",1,"patch",1,27,"area",56.52,1,"patch",1,27,"core",44.19,1,"patch",1,27,"enn",60,1,"patch",1,27,"perim",5820,1,"patch",1,27,"para",0.0102972399150743,1,"patch",1,27,"cai",78.1847133757962,1,"patch",1,27,"circle",0.728636815694249,1,"patch",1,27,"contig",0.91135881104034,1,"patch",1,27,"frac",1.09970509001507,1,"patch",1,27,"gyrate",421.428487518621,1,"patch",1,27,"ncore",1,1,"patch",1,27,"shape",1.93536069483398
"28",1,"patch",1,28,"area",2.79,1,"patch",1,28,"core",0.81,1,"patch",1,28,"enn",60,1,"patch",1,28,"perim",1020,1,"patch",1,28,"para",0.0365591397849462,1,"patch",1,28,"cai",29.0322580645161,1,"patch",1,28,"circle",0.53811496055904,1,"patch",1,28,"contig",0.693548387096774,1,"patch",1,28,"frac",1.08266056553656,1,"patch",1,28,"gyrate",71.0236396780921,1,"patch",1,28,"ncore",1,1,"patch",1,28,"shape",1.52664506722759
"29",1,"patch",1,29,"area",1.08,1,"patch",1,29,"core",0.18,1,"patch",1,29,"enn",90,1,"patch",1,29,"perim",600,1,"patch",1,29,"para",0.0555555555555556,1,"patch",1,29,"cai",16.6666666666667,1,"patch",1,29,"circle",0.473142257350967,1,"patch",1,29,"contig",0.555555555555556,1,"patch",1,29,"frac",1.07902932643533,1,"patch",1,29,"gyrate",42.0947540374271,1,"patch",1,29,"ncore",1,1,"patch",1,29,"shape",1.44337567297406
"30",1,"patch",1,30,"area",0.72,1,"patch",1,30,"core",0,1,"patch",1,30,"enn",60,1,"patch",1,30,"perim",480,1,"patch",1,30,"para",0.0666666666666667,1,"patch",1,30,"cai",0,1,"patch",1,30,"circle",0.648761504900645,1,"patch",1,30,"contig",0.4375,1,"patch",1,30,"frac",1.07804097674818,1,"patch",1,30,"gyrate",39.0941471557231,1,"patch",1,30,"ncore",0,1,"patch",1,30,"shape",1.41421356237309
"31",1,"patch",1,31,"area",0.09,1,"patch",1,31,"core",0,1,"patch",1,31,"enn",192.093727122985,1,"patch",1,31,"perim",120,1,"patch",1,31,"para",0.133333333333333,1,"patch",1,31,"cai",0,1,"patch",1,31,"circle",0.363380227632419,1,"patch",1,31,"contig",0,1,"patch",1,31,"frac",1,1,"patch",1,31,"gyrate",0,1,"patch",1,31,"ncore",0,1,"patch",1,31,"shape",1
"32",1,"patch",1,32,"area",0.09,1,"patch",1,32,"core",0,1,"patch",1,32,"enn",67.0820393249937,1,"patch",1,32,"perim",120,1,"patch",1,32,"para",0.133333333333333,1,"patch",1,32,"cai",0,1,"patch",1,32,"circle",0.363380227632419,1,"patch",1,32,"contig",0,1,"patch",1,32,"frac",1,1,"patch",1,32,"gyrate",0,1,"patch",1,32,"ncore",0,1,"patch",1,32,"shape",1
"33",1,"patch",1,33,"area",84.06,1,"patch",1,33,"core",62.82,1,"patch",1,33,"enn",60,1,"patch",1,33,"perim",9780,1,"patch",1,33,"para",0.0116345467523198,1,"patch",1,33,"cai",74.7323340471092,1,"patch",1,33,"circle",0.616224845168765,1,"patch",1,33,"contig",0.899000713775874,1,"patch",1,33,"frac",1.14380209087749,1,"patch",1,33,"gyrate",433.602844171401,1,"patch",1,33,"ncore",3,1,"patch",1,33,"shape",2.66676146334003
"34",1,"patch",1,34,"area",0.09,1,"patch",1,34,"core",0,1,"patch",1,34,"enn",182.482875908947,1,"patch",1,34,"perim",120,1,"patch",1,34,"para",0.133333333333333,1,"patch",1,34,"cai",0,1,"patch",1,34,"circle",0.363380227632419,1,"patch",1,34,"contig",0,1,"patch",1,34,"frac",1,1,"patch",1,34,"gyrate",0,1,"patch",1,34,"ncore",0,1,"patch",1,34,"shape",1
"35",1,"patch",1,35,"area",0.18,1,"patch",1,35,"core",0,1,"patch",1,35,"enn",120,1,"patch",1,35,"perim",180,1,"patch",1,35,"para",0.1,1,"patch",1,35,"cai",0,1,"patch",1,35,"circle",0.490704182105935,1,"patch",1,35,"contig",0.166666666666667,1,"patch",1,35,"frac",1.01571374512186,1,"patch",1,35,"gyrate",15,1,"patch",1,35,"ncore",0,1,"patch",1,35,"shape",1.06066017177982
"36",1,"patch",1,36,"area",0.09,1,"patch",1,36,"core",0,1,"patch",1,36,"enn",201.246117974981,1,"patch",1,36,"perim",120,1,"patch",1,36,"para",0.133333333333333,1,"patch",1,36,"cai",0,1,"patch",1,36,"circle",0.363380227632419,1,"patch",1,36,"contig",0,1,"patch",1,36,"frac",1,1,"patch",1,36,"gyrate",0,1,"patch",1,36,"ncore",0,1,"patch",1,36,"shape",1
"37",1,"patch",1,37,"area",2.52,1,"patch",1,37,"core",0.54,1,"patch",1,37,"enn",60,1,"patch",1,37,"perim",1020,1,"patch",1,37,"para",0.0404761904761905,1,"patch",1,37,"cai",21.4285714285714,1,"patch",1,37,"circle",0.754133053430451,1,"patch",1,37,"contig",0.654761904761905,1,"patch",1,37,"frac",1.09353382321648,1,"patch",1,37,"gyrate",83.5254615224306,1,"patch",1,37,"ncore",3,1,"patch",1,37,"shape",1.60634901028922
"38",1,"patch",1,38,"area",8.55,1,"patch",1,38,"core",4.32,1,"patch",1,38,"enn",60,1,"patch",1,38,"perim",2160,1,"patch",1,38,"para",0.0252631578947368,1,"patch",1,38,"cai",50.5263157894737,1,"patch",1,38,"circle",0.70498108109795,1,"patch",1,38,"contig",0.784210526315789,1,"patch",1,38,"frac",1.10803427933672,1,"patch",1,38,"gyrate",149.912375347705,1,"patch",1,38,"ncore",2,1,"patch",1,38,"shape",1.84676103375328
"39",1,"patch",1,39,"area",0.18,1,"patch",1,39,"core",0,1,"patch",1,39,"enn",182.482875908947,1,"patch",1,39,"perim",180,1,"patch",1,39,"para",0.1,1,"patch",1,39,"cai",0,1,"patch",1,39,"circle",0.490704182105935,1,"patch",1,39,"contig",0.166666666666667,1,"patch",1,39,"frac",1.01571374512186,1,"patch",1,39,"gyrate",15,1,"patch",1,39,"ncore",0,1,"patch",1,39,"shape",1.06066017177982
"40",1,"patch",1,40,"area",0.27,1,"patch",1,40,"core",0,1,"patch",1,40,"enn",174.928556845359,1,"patch",1,40,"perim",240,1,"patch",1,40,"para",0.0888888888888889,1,"patch",1,40,"cai",0,1,"patch",1,40,"circle",0.618028136579451,1,"patch",1,40,"contig",0.222222222222222,1,"patch",1,40,"frac",1.03641081074333,1,"patch",1,40,"gyrate",20,1,"patch",1,40,"ncore",0,1,"patch",1,40,"shape",1.15470053837925
"41",1,"patch",1,41,"area",0.09,1,"patch",1,41,"core",0,1,"patch",1,41,"enn",60,1,"patch",1,41,"perim",120,1,"patch",1,41,"para",0.133333333333333,1,"patch",1,41,"cai",0,1,"patch",1,41,"circle",0.363380227632419,1,"patch",1,41,"contig",0,1,"patch",1,41,"frac",1,1,"patch",1,41,"gyrate",0,1,"patch",1,41,"ncore",0,1,"patch",1,41,"shape",1
"42",1,"patch",1,42,"area",0.36,1,"patch",1,42,"core",0,1,"patch",1,42,"enn",67.0820393249937,1,"patch",1,42,"perim",300,1,"patch",1,42,"para",0.0833333333333333,1,"patch",1,42,"cai",0,1,"patch",1,42,"circle",0.490704182105935,1,"patch",1,42,"contig",0.333333333333333,1,"patch",1,42,"frac",1.0545004329565,1,"patch",1,42,"gyrate",22.9616460960662,1,"patch",1,42,"ncore",0,1,"patch",1,42,"shape",1.25
"43",1,"patch",1,43,"area",0.09,1,"patch",1,43,"core",0,1,"patch",1,43,"enn",241.867732448957,1,"patch",1,43,"perim",120,1,"patch",1,43,"para",0.133333333333333,1,"patch",1,43,"cai",0,1,"patch",1,43,"circle",0.363380227632419,1,"patch",1,43,"contig",0,1,"patch",1,43,"frac",1,1,"patch",1,43,"gyrate",0,1,"patch",1,43,"ncore",0,1,"patch",1,43,"shape",1
"44",1,"patch",1,44,"area",0.18,1,"patch",1,44,"core",0,1,"patch",1,44,"enn",67.0820393249937,1,"patch",1,44,"perim",180,1,"patch",1,44,"para",0.1,1,"patch",1,44,"cai",0,1,"patch",1,44,"circle",0.490704182105935,1,"patch",1,44,"contig",0.166666666666667,1,"patch",1,44,"frac",1.01571374512186,1,"patch",1,44,"gyrate",15,1,"patch",1,44,"ncore",0,1,"patch",1,44,"shape",1.06066017177982
"45",1,"patch",1,45,"area",0.54,1,"patch",1,45,"core",0,1,"patch",1,45,"enn",84.8528137423857,1,"patch",1,45,"perim",420,1,"patch",1,45,"para",0.0777777777777778,1,"patch",1,45,"cai",0,1,"patch",1,45,"circle",0.793528722475379,1,"patch",1,45,"contig",0.277777777777778,1,"patch",1,45,"frac",1.08305255507972,1,"patch",1,45,"gyrate",45,1,"patch",1,45,"ncore",0,1,"patch",1,45,"shape",1.42886901662352
"46",1,"patch",1,46,"area",0.09,1,"patch",1,46,"core",0,1,"patch",1,46,"enn",180,1,"patch",1,46,"perim",120,1,"patch",1,46,"para",0.133333333333333,1,"patch",1,46,"cai",0,1,"patch",1,46,"circle",0.363380227632419,1,"patch",1,46,"contig",0,1,"patch",1,46,"frac",1,1,"patch",1,46,"gyrate",0,1,"patch",1,46,"ncore",0,1,"patch",1,46,"shape",1
"47",1,"patch",1,47,"area",0.09,1,"patch",1,47,"core",0,1,"patch",1,47,"enn",60,1,"patch",1,47,"perim",120,1,"patch",1,47,"para",0.133333333333333,1,"patch",1,47,"cai",0,1,"patch",1,47,"circle",0.363380227632419,1,"patch",1,47,"contig",0,1,"patch",1,47,"frac",1,1,"patch",1,47,"gyrate",0,1,"patch",1,47,"ncore",0,1,"patch",1,47,"shape",1
"48",1,"patch",1,48,"area",0.27,1,"patch",1,48,"core",0,1,"patch",1,48,"enn",60,1,"patch",1,48,"perim",240,1,"patch",1,48,"para",0.0888888888888889,1,"patch",1,48,"cai",0,1,"patch",1,48,"circle",0.522535170724314,1,"patch",1,48,"contig",0.277777777777778,1,"patch",1,48,"frac",1.03641081074333,1,"patch",1,48,"gyrate",19.6211650579089,1,"patch",1,48,"ncore",0,1,"patch",1,48,"shape",1.15470053837925
"49",1,"patch",1,49,"area",0.72,1,"patch",1,49,"core",0,1,"patch",1,49,"enn",60,1,"patch",1,49,"perim",600,1,"patch",1,49,"para",0.0833333333333333,1,"patch",1,49,"cai",0,1,"patch",1,49,"circle",0.745352091052967,1,"patch",1,49,"contig",0.333333333333333,1,"patch",1,49,"frac",1.12828814268356,1,"patch",1,49,"gyrate",46.7929981030665,1,"patch",1,49,"ncore",0,1,"patch",1,49,"shape",1.76776695296637
